id,operator,group,ref_class,map_class,ref_code,map_code
624,josney,7,Fp,Fp,11,11
749,leslie,8,Fp,Fp,11,11
510,carine,6,Fp,Fm,11,13
353,Cherubins,4,Fp,Fm,11,13
419,lillteddy,5,Fp,Fp,11,11
132,josney,2,Fp,Fs,11,12
571,carine,6,Fp,Fm,11,13
547,carine,6,Fp,Fp,11,11
548,carine,6,Fp,Fp,11,11
683,Cherubins,7,Fp,Fm,11,13
594,lillteddy,6,Fp,Fp,11,11
429,lillteddy,5,Fp,Fp,11,11
675,Cherubins,7,Fp,Fm,11,13
512,carine,6,Fp,Fp,11,11
536,carine,6,Fp,Fs,11,12
60,karel88,1,Fp,Fm,11,13
456,lillteddy,5,Fp,Fm,11,13
610,gisele,7,Fp,Fm,11,13
327,Cherubins,4,Fp,Fm,11,13
750,leslie,8,Fp,Fm,11,13
680,Cherubins,7,Fp,Fm,11,13
481,lillteddy,5,Fp,Fp,11,11
5,karel88,1,Fp,Fs,11,12
273,karel88,3,Fp,Fs,11,12
484,lillteddy,5,Fp,Fp,11,11
339,Cherubins,4,Fp,Fs,11,12
694,Cherubins,7,Fp,Fp,11,11
559,carine,6,Fp,Fs,11,12
451,lillteddy,5,Fp,Fs,11,12
472,lillteddy,5,Fp,Fm,11,13
215,Precieux,3,Fp,Fs,11,12
343,Cherubins,4,Fp,Fs,11,12
766,lillteddy,8,Fp,Fm,11,13
663,gisele,7,Fp,Fp,11,11
508,carine,6,Fp,Fp,11,11
171,josney,2,Fp,Fp,11,11
378,Cherubins,4,Fp,Fm,11,13
170,josney,2,Fp,Fm,11,13
525,carine,6,Fp,Fm,11,13
308,Cherubins,4,Fp,Fs,11,12
134,josney,2,Fp,Fp,11,11
242,Precieux,3,Fp,Fs,11,12
591,lillteddy,6,Fp,Fp,11,11
288,karel88,3,Fp,Fp,11,11
737,leslie,8,Fp,Fm,11,13
717,leslie,8,Fp,Fp,11,11
565,carine,6,Fp,Fp,11,11
432,lillteddy,5,Fp,Fp,11,11
824,jeannette_kenovh,9,Fp,Fm,11,13
684,Cherubins,7,Fp,Fp,11,11
839,jeannette_kenovh,9,Fp,Fm,11,13
40,karel88,1,Fp,Fp,11,11
248,Precieux,3,Fp,Fp,11,11
557,carine,6,Fp,Fs,11,12
470,lillteddy,5,Fp,Fp,11,11
632,gisele,7,Fp,Fm,11,13
235,Precieux,3,Fp,Fm,11,13
625,gisele,7,Fp,Fp,11,11
241,Precieux,3,Fp,Fs,11,12
136,josney,2,Fp,Fp,11,11
503,lillteddy,5,Fp,Fp,11,11
599,lillteddy,6,Fp,Fm,11,13
243,Precieux,3,Fp,Fm,11,13
237,Precieux,3,Fp,Fs,11,12
645,gisele,7,Fp,Fm,11,13
811,jeannette_kenovh,9,Fp,Fm,11,13
731,leslie,8,Fp,Fm,11,13
96,karel88,1,Fp,Fm,11,13
612,gisele,7,Fp,Fm,11,13
794,leslie,8,Fp,Fp,11,11
706,Cherubins,7,Fp,Fm,11,13
655,gisele,7,Fp,Fm,11,13
107,josney,2,Fp,Fm,11,13
671,gisele,7,Fp,Fm,11,13
364,Cherubins,4,Fp,Fm,11,13
535,carine,6,Fp,Fm,11,13
823,jeannette_kenovh,9,Fp,Fm,11,13
649,gisele,7,Fp,Fm,11,13
284,karel88,3,Fp,Fm,11,13
440,lillteddy,5,Fp,Fm,11,13
157,josney,2,Fp,Fm,11,13
16,karel88,1,Fp,Fs,11,12
6,karel88,1,Fp,Fm,11,13
678,Cherubins,7,Fp,Fm,11,13
263,karel88,3,Fp,Fm,11,13
474,lillteddy,5,Fp,Fm,11,13
159,josney,2,Fp,Fm,11,13
641,gisele,7,Fp,Fm,11,13
534,carine,6,Fp,Fm,11,13
8,karel88,1,Fp,Fm,11,13
45,karel88,1,Fp,Fm,11,13
755,leslie,8,Fp,Fm,11,13
896,jeannette_kenovh,9,Fp,Fm,11,13
452,lillteddy,5,Fp,Fm,11,13
656,gisele,7,Fp,Fs,11,12
166,josney,2,Fp,Fm,11,13
197,josney,2,Fp,Fm,11,13
462,lillteddy,5,Fp,Fs,11,12
137,josney,2,Fp,Fm,11,13
111,josney,2,Fp,Fm,11,13
482,lillteddy,5,Fp,Fm,11,13
155,josney,2,Fp,Fs,11,12
160,josney,2,Fp,Fm,11,13
387,Cherubins,4,Fp,Fm,11,13
466,lillteddy,5,Fp,Fm,11,13
172,josney,2,Fp,Fm,11,13
396,Cherubins,4,Fp,Fm,11,13
616,gisele,7,Fp,Fm,11,13
483,lillteddy,5,Fp,Fm,11,13
394,Cherubins,4,Fp,Fs,11,12
122,josney,2,Fp,Fs,11,12
191,josney,2,Fp,Fm,11,13
579,carine,6,Fp,Fm,11,13
1,remiremi,1,Fs,NF,12,2
905,jeannette_kenovh,9,Fs,Fp,12,11
478,lillteddy,5,Fs,Fs,12,12
587,lillteddy,6,Fs,NF,12,2
